#Iteration	 RMSE	               Rel. Err.
0	     5.508981e-01	     2.754706e-01
1	     4.470764e-01	     2.235557e-01
2	     4.022893e-01	     2.011604e-01
3	     3.841614e-01	     1.920957e-01
4	     3.600655e-01	     1.800468e-01
5	     3.445030e-01	     1.722650e-01
6	     3.377280e-01	     1.688772e-01
7	     3.204365e-01	     1.602308e-01
8	     3.099976e-01	     1.550109e-01
9	     3.005372e-01	     1.502803e-01
10	     2.936342e-01	     1.468286e-01
11	     2.827251e-01	     1.413736e-01
12	     2.744869e-01	     1.372542e-01
13	     2.666886e-01	     1.333547e-01
14	     2.595881e-01	     1.298042e-01
15	     2.568081e-01	     1.284141e-01
16	     2.475786e-01	     1.237990e-01
17	     2.397637e-01	     1.198912e-01
18	     2.328559e-01	     1.164370e-01
19	     2.265938e-01	     1.133058e-01
20	     2.212332e-01	     1.106252e-01
21	     2.183776e-01	     1.091973e-01
22	     2.118173e-01	     1.059169e-01
23	     2.055329e-01	     1.027745e-01
24	     2.004077e-01	     1.002117e-01
25	     1.959056e-01	     9.796047e-02
26	     1.917974e-01	     9.590622e-02
27	     1.881217e-01	     9.406820e-02
28	     1.867461e-01	     9.338036e-02
29	     1.819470e-01	     9.098062e-02
30	     1.780752e-01	     8.904458e-02
31	     1.746334e-01	     8.732352e-02
32	     1.714972e-01	     8.575531e-02
33	     1.686986e-01	     8.435589e-02
34	     1.660811e-01	     8.304703e-02
35	     1.636271e-01	     8.181997e-02
36	     1.629807e-01	     8.149670e-02
37	     1.597769e-01	     7.989471e-02
38	     1.571083e-01	     7.856030e-02
39	     1.547068e-01	     7.735944e-02
40	     1.524868e-01	     7.624934e-02
41	     1.504642e-01	     7.523796e-02
42	     1.485638e-01	     7.428770e-02
43	     1.467658e-01	     7.338862e-02
44	     1.450743e-01	     7.254283e-02
45	     1.434486e-01	     7.172990e-02
46	     1.427719e-01	     7.139154e-02
47	     1.407459e-01	     7.037845e-02
48	     1.389832e-01	     6.949705e-02
49	     1.373619e-01	     6.868634e-02
50	     1.358271e-01	     6.791888e-02
51	     1.344017e-01	     6.720612e-02
