#Iteration	 RMSE	               Rel. Err.
158	     6.296600e-02	     3.009299e-02
159	     6.247587e-02	     2.985875e-02
160	     6.242633e-02	     2.983507e-02
161	     6.235068e-02	     2.979891e-02
162	     6.202331e-02	     2.964246e-02
163	     6.187491e-02	     2.957153e-02
164	     6.183284e-02	     2.955143e-02
165	     6.157934e-02	     2.943027e-02
166	     6.139274e-02	     2.934109e-02
167	     6.134858e-02	     2.931999e-02
168	     6.114502e-02	     2.922270e-02
169	     6.100775e-02	     2.915710e-02
170	     6.052009e-02	     2.892403e-02
171	     6.043690e-02	     2.888427e-02
172	     6.038459e-02	     2.885927e-02
173	     6.034182e-02	     2.883883e-02
174	     6.018360e-02	     2.876321e-02
175	     6.002717e-02	     2.868845e-02
176	     5.959878e-02	     2.848371e-02
177	     5.952064e-02	     2.844637e-02
178	     5.947573e-02	     2.842491e-02
179	     5.943993e-02	     2.840780e-02
180	     5.928464e-02	     2.833358e-02
181	     5.911608e-02	     2.825302e-02
182	     5.908736e-02	     2.823929e-02
183	     5.891853e-02	     2.815861e-02
184	     5.876002e-02	     2.808285e-02
185	     5.873052e-02	     2.806875e-02
186	     5.855627e-02	     2.798548e-02
187	     5.840760e-02	     2.791442e-02
188	     5.838467e-02	     2.790346e-02
189	     5.820700e-02	     2.781855e-02
190	     5.807573e-02	     2.775581e-02
191	     5.792679e-02	     2.768463e-02
192	     5.777722e-02	     2.761314e-02
193	     5.774822e-02	     2.759928e-02
194	     5.759152e-02	     2.752439e-02
195	     5.745723e-02	     2.746021e-02
196	     5.732208e-02	     2.739562e-02
197	     5.719245e-02	     2.733367e-02
198	     5.706363e-02	     2.727210e-02
199	     5.692375e-02	     2.720525e-02
200	     5.680486e-02	     2.714843e-02
201	     5.666779e-02	     2.708292e-02
202	     5.655305e-02	     2.702809e-02
203	     5.641413e-02	     2.696169e-02
204	     5.639174e-02	     2.695099e-02
205	     5.624477e-02	     2.688075e-02
206	     5.613474e-02	     2.682816e-02
207	     5.599624e-02	     2.676197e-02
208	     5.587838e-02	     2.670565e-02
209	     5.575409e-02	     2.664624e-02
210	     5.562177e-02	     2.658300e-02
211	     5.551597e-02	     2.653244e-02
212	     5.542458e-02	     2.648876e-02
213	     5.507584e-02	     2.632209e-02
214	     5.502611e-02	     2.629832e-02
215	     5.500041e-02	     2.628604e-02
216	     5.488818e-02	     2.623240e-02
217	     5.477212e-02	     2.617694e-02
218	     5.465915e-02	     2.612295e-02
219	     5.455939e-02	     2.607527e-02
220	     5.443684e-02	     2.601670e-02
221	     5.434501e-02	     2.597281e-02
222	     5.421461e-02	     2.591049e-02
223	     5.414023e-02	     2.587494e-02
224	     5.399679e-02	     2.580639e-02
225	     5.393919e-02	     2.577886e-02
226	     5.378022e-02	     2.570288e-02
227	     5.374817e-02	     2.568756e-02
228	     5.356804e-02	     2.560148e-02
229	     5.350533e-02	     2.557151e-02
230	     5.347258e-02	     2.555585e-02
231	     5.345055e-02	     2.554532e-02
232	     5.334752e-02	     2.549608e-02
233	     5.325355e-02	     2.545117e-02
234	     5.313663e-02	     2.539529e-02
235	     5.306551e-02	     2.536131e-02
236	     5.293026e-02	     2.529667e-02
237	     5.288169e-02	     2.527345e-02
238	     5.272541e-02	     2.519876e-02
239	     5.266403e-02	     2.516943e-02
240	     5.263406e-02	     2.515511e-02
241	     5.261305e-02	     2.514506e-02
242	     5.251474e-02	     2.509808e-02
243	     5.242754e-02	     2.505640e-02
244	     5.231225e-02	     2.500130e-02
245	     5.225264e-02	     2.497282e-02
246	     5.211411e-02	     2.490661e-02
247	     5.208354e-02	     2.489200e-02
248	     5.191729e-02	     2.481254e-02
249	     5.186325e-02	     2.478671e-02
250	     5.183776e-02	     2.477453e-02
251	     5.182313e-02	     2.476754e-02
252	     5.171447e-02	     2.471561e-02
253	     5.165223e-02	     2.468586e-02
254	     5.151971e-02	     2.462253e-02
255	     5.149523e-02	     2.461083e-02
256	     5.132918e-02	     2.453147e-02
257	     5.127813e-02	     2.450707e-02
258	     5.125481e-02	     2.449593e-02
259	     5.117505e-02	     2.445781e-02
260	     5.107701e-02	     2.441095e-02
261	     5.098310e-02	     2.436607e-02
262	     5.090203e-02	     2.432732e-02
263	     5.079521e-02	     2.427627e-02
264	     5.072675e-02	     2.424355e-02
265	     5.060916e-02	     2.418736e-02
266	     5.056511e-02	     2.416630e-02
267	     5.042326e-02	     2.409851e-02
268	     5.036763e-02	     2.407192e-02
269	     5.034270e-02	     2.406001e-02
270	     5.032773e-02	     2.405285e-02
271	     5.023386e-02	     2.400799e-02
272	     5.017226e-02	     2.397855e-02
273	     5.005140e-02	     2.392079e-02
274	     5.002319e-02	     2.390730e-02
